house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A037001001,113,12,18,64,13,4,2
A037001002,104,23,15,49,9,7,1
A037001003/037001004,105,27,20,43,7,5,3
A037002001,60,15,12,26,3,2,2
A037002002,53,20,9,16,3,3,2
A037002003,51,18,6,21,2,3,1
A037003001,74,19,21,26,2,3,3
A037004001,65,17,11,24,9,4,0
A037005001,70,21,14,21,8,4,2
A037006001,61,23,11,19,6,1,1
A037006002,112,36,9,48,15,2,2
A037006003,78,23,13,29,9,4,0
A037006004,52,13,11,19,3,2,4
A037007001,77,15,11,39,8,1,3
A037007002,89,11,17,47,5,6,3
A037007003,82,9,17,35,12,1,8
A037008001/037067001,99,22,13,35,22,1,6
A037009001,100,23,12,46,9,3,7
A037009002,81,17,15,41,7,1,0
A037009003,97,29,17,25,18,5,3
A037009004,74,23,11,33,5,1,1
A037009005,117,23,40,33,8,3,10
A037009006,105,3,16,79,2,1,4
A037009007,90,10,9,60,8,0,3
A037009008,112,15,21,54,10,6,6
A037009009,113,15,43,46,2,2,5
A037009010,84,12,22,27,10,5,8
A037009011,123,26,31,39,18,5,4
A037009012,81,15,15,43,2,2,4
A037009013,72,12,14,36,5,5,0
A037009014,69,14,10,32,7,3,3
A037009015,86,16,9,36,10,11,4
A037009016,114,29,32,35,9,5,4
A037009017,107,33,30,30,10,3,1
A037009018,135,27,17,60,15,4,12
A037009019,141,12,28,78,11,5,7
A037010001,129,26,30,49,13,7,4
A037011001,124,29,23,45,16,5,6
A037012001,130,18,10,76,17,2,7
A037012002/037012003,97,13,12,41,18,5,8
A037013001,85,20,14,33,8,3,7
A037013002/037013003,93,25,17,40,5,3,3
A037014001,61,17,16,15,8,5,0
A037015001,84,28,21,27,4,4,0
A037016001,57,12,11,27,5,0,2
A037017001,96,31,18,31,10,4,2
A037018001/37041001,106,25,19,47,9,4,2
A037019001,119,29,29,41,13,3,4
A037020001,79,17,13,35,8,4,2
A037021001,69,18,8,29,10,2,2
A037021002,76,31,16,17,5,4,3
A037021003,82,30,10,32,8,2,0
A037022001,55,13,10,20,7,2,3
A037023001,73,21,1,0,0,51,0
A037024001,77,12,19,33,8,2,3
A037024002,111,25,9,13,0,63,1
A037025001,43,15,5,17,3,1,2
A037026001,43,9,10,14,6,0,4
A037026002,67,11,12,39,2,1,2
A037026003,80,11,13,41,7,4,4
A037026004,28,6,8,11,0,1,2
A037026005,126,24,29,61,9,1,2
A037026006,75,22,19,26,4,2,2
A037026007,131,34,39,29,18,8,3
A037026008,90,24,16,19,24,2,5
A037026009,65,33,6,16,5,3,2
A037026010,114,34,15,41,20,2,2
A037026011,65,29,15,14,6,0,1
A037026012,96,13,25,47,4,4,3
A037027001,133,33,17,66,8,6,3
A037027002,80,14,17,40,2,4,3
A037027003,65,19,19,20,5,2,0
A037027004,99,14,28,49,1,5,2
A037027005,81,16,21,36,2,4,2
A037027006,90,20,15,44,7,3,1
A037027007,102,11,14,55,10,6,6
A037027008,102,8,25,56,6,4,3
A037027009,94,13,18,52,7,3,1
A037027010,118,26,11,48,28,1,4
A037027011,111,36,22,21,9,21,2
A037027012,89,14,11,48,8,2,6
A037027013,122,17,20,70,10,4,1
A037027014,113,13,18,50,21,6,5
A037027015,135,29,21,46,19,15,5
A037027016,94,13,15,50,9,3,4
A037027017,102,11,22,48,9,5,7
A037027018,154,38,5,66,38,2,5
A037027019,105,24,22,34,14,5,6
A037027020,123,28,20,41,18,7,9
A037027021,129,38,16,30,28,14,3
A037027022,125,25,51,35,6,3,5
A037027023,122,30,32,30,19,10,1
A037027024,104,20,36,37,8,3,0
A037027025,77,13,15,30,10,7,2
A037027026,77,17,18,22,9,7,4
A037027027,91,30,16,26,12,6,1
A037027028,87,21,20,26,11,7,2
A037027029,73,44,13,7,3,5,1
A037027030,72,24,25,13,5,2,3
A037027031,110,38,29,19,15,9,0
A037027032,107,24,37,33,9,0,4
A037027033,89,20,17,32,10,5,5
A037027034,106,23,24,30,18,6,5
A037027035,113,36,18,34,12,9,4
A037027036,65,17,12,23,5,5,3
A037027037,66,12,9,21,17,4,3
A037027038,137,27,20,48,12,28,2
A037028001,99,19,23,20,5,29,3
A037029001,99,33,27,25,4,5,5
A037029002,82,31,28,17,1,3,2
A037030001,76,19,23,28,2,3,1
A037030002,74,24,15,26,2,4,3
A037031001,93,16,20,41,9,4,3
A037031002,92,9,15,51,8,3,6
A037031003,101,14,22,56,6,3,0
A037032001,115,26,15,59,7,4,4
A037033001,59,19,8,20,9,2,1
A037033002,51,15,7,18,6,1,4
A037034001,63,18,12,22,5,3,3
A037035001,100,32,21,35,9,1,2
A037035002,76,17,15,37,6,0,1
A037036001,55,14,11,19,9,1,1
A037037001,95,24,21,40,6,2,2
A037038001,70,11,10,39,5,2,3
A037039001,94,14,23,43,8,3,3
