house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A027001001,142,44,27,26,14,30,1
A027001002,99,21,23,25,16,8,6
A027001003,92,34,15,14,11,15,3
A027001004,65,12,15,32,6,0,0
A027002001,61,8,20,24,6,2,1
A027002002,61,19,16,18,3,3,2
A027002003,62,11,19,26,5,0,1
A027002004,63,19,16,21,5,2,0
A027002005,65,10,19,24,10,1,1
A027003001,82,18,20,31,10,2,1
A027003002,57,17,10,24,2,2,2
A027004001,89,26,18,27,12,4,2
A027004002,63,15,9,29,6,1,3
A027004003,60,9,19,21,7,3,1
A027004004,74,17,17,30,6,2,2
A027004005,83,25,10,35,5,3,5
A027004006,96,13,25,40,12,2,4
A027004007,99,19,29,37,4,4,6
A027004008,87,11,18,44,9,3,2
A027004009,97,25,19,37,12,1,3
A027004010,65,9,19,28,6,1,2
A027004011,67,18,15,21,5,6,2
A027004012,91,12,18,43,8,6,4
A027004013,76,20,17,27,5,3,4
A027004014,80,20,11,34,11,2,2
A027004015,59,19,12,17,6,3,2
A027004016,86,32,12,27,12,2,1
A027004017,83,21,11,26,21,2,2
A027004018,90,50,13,12,11,1,3
A027005001,97,37,22,15,14,6,3
A027005002,72,48,8,9,1,5,1
A027006001,88,24,24,34,2,2,2
A027006002,72,13,11,35,8,0,5
A027006003,72,15,19,27,4,4,3
A027006004,79,21,17,30,9,2,0
A027006005,63,18,11,28,3,2,1
A027006006,56,23,8,17,8,0,0
A027006007,62,22,20,9,7,1,3
A027006008,71,18,13,30,7,1,2
A027007001,76,17,11,32,9,3,4
A027007002,117,37,15,49,3,8,5
A027007003,76,24,18,26,3,3,2
A027007004,95,27,19,42,3,2,2
A027008001,101,22,16,46,10,2,5
A027008002,85,19,22,26,12,3,3
A027008003,112,35,21,35,12,6,3
A027008004,100,22,16,47,5,3,7
A027008005,71,12,9,29,8,7,6
A027008006,85,14,17,36,3,6,9
A027008007,86,13,11,36,11,6,9
A027008008,84,20,12,25,15,5,7
A027008009,94,23,14,31,10,11,5
A027008010,69,19,6,27,7,5,5
A027008011,70,12,10,25,6,8,9
A027008012,100,27,10,34,13,6,10
A027009001,101,22,23,39,9,2,6
A027009002,103,21,19,42,11,5,5
A027009003,109,11,18,59,13,3,5
A027009004,59,17,8,27,2,4,1
A027010001,61,13,11,24,5,5,3
A027011001,69,19,16,28,2,1,3
A027011002,74,10,21,36,3,2,2
A027011003,97,26,22,39,9,1,0
A027012001,76,21,15,32,4,3,1
A027012002,73,23,11,26,7,2,4
A027012003,72,20,17,26,3,3,3
A027012004,86,27,16,26,13,3,1
A027012005,113,22,24,46,9,5,7
A027012006,93,29,12,28,22,1,1
A027013001,99,32,17,25,16,9,0
A027013002,115,20,19,51,17,7,1
A027013003,59,8,12,31,6,0,2
A027013004,88,17,12,36,17,4,2
A027013005,110,48,15,24,13,6,4
A027013006,89,28,18,34,4,4,1
A027013007,66,26,14,21,2,2,1
A027013008,52,29,13,5,2,2,1
A027013009,92,54,16,8,7,6,1
A027014001,36,15,9,10,2,0,0
A027015001,81,28,12,25,6,8,2
A027016001,63,15,13,13,19,2,1
A027017001,33,16,6,9,0,0,2
A027017002,61,18,10,21,8,3,1
A027018001,72,18,14,25,10,3,2
A027018002,123,31,24,47,17,4,0
A027019001,57,16,13,17,8,0,3
A027020001,86,22,17,31,7,4,5
A027020002,106,22,24,43,10,4,3
A027021001,78,15,18,35,3,5,2
A027021002,84,18,17,36,3,2,8
A027022001,104,18,20,46,8,3,9
A027022002,63,13,15,24,6,2,3
A027022003,78,18,14,30,7,6,3
A027022004,95,19,18,39,10,3,6
A027023001,72,10,17,33,5,4,3
A027024001,66,15,15,28,4,2,2
A027024002,63,8,15,28,6,2,4
A027024003,103,22,21,42,5,5,8
A027024004,78,13,14,39,4,5,3
A027024005,130,34,14,59,14,5,4
A027024006,86,11,11,42,10,6,6
A027024007,120,22,30,48,8,7,5
A027024008,95,14,13,48,15,3,2
A027024009,74,13,12,33,8,3,5
A027024010,119,11,15,59,13,12,9
A027024011,84,9,4,47,15,2,7
A027024012,80,9,14,41,9,4,3
A027024013,81,21,15,25,12,7,1
A027024014,109,27,17,49,8,4,4
A027024015,102,34,17,28,8,11,4
A027024016,66,38,10,11,2,3,2
A027024017,38,8,7,22,1,0,0
A027024018,93,14,32,38,9,0,0
A027024019,117,35,25,33,9,6,9
A027024020,89,25,13,43,3,2,3
A027024021,114,26,13,39,14,15,7
A027024022,121,36,35,29,9,6,6
A027024023,135,15,32,55,19,9,5
A027024024,90,20,8,36,11,10,5
A027024025,112,23,20,43,15,5,6
A027024026,82,32,31,14,2,2,1
A027024027,128,23,17,49,30,4,5
A027024028,68,14,6,31,10,2,5
A027025001,107,13,29,52,10,1,2
A027025002,72,21,9,26,10,5,1
A027025003,69,13,12,20,5,16,3
A027025004,85,18,13,33,13,6,2
A027025005,63,33,14,6,3,6,1
A027025006,106,19,14,45,21,3,4
A027025007,93,38,17,27,3,5,3
A027025008,78,9,11,33,12,5,8
A027025009,93,40,16,17,12,4,4
A027025010,118,63,13,14,9,17,2
A027025011,81,19,12,18,14,8,10
A027025012,79,40,9,11,6,11,2
A027025013,100,19,19,39,10,9,4
A027025014,130,32,16,47,30,3,2
A027025015,78,44,8,9,10,4,3
A027025016,59,27,11,12,2,7,0
A027025017,76,28,11,16,12,7,2
A027025018,55,27,8,4,4,10,2
A027026001,87,47,12,14,6,7,1
A027026002,111,44,23,22,12,7,3
A027027001,74,19,5,25,12,10,3
A027027002,125,16,26,66,7,4,6
A027027003,137,17,27,72,11,3,7
A027027004,101,24,12,56,6,1,2
A027028001,91,19,23,31,10,5,3
A027028002,102,24,19,44,9,2,4
A027028003,87,22,16,33,11,1,4
A027028004,67,16,13,23,11,2,2
A027028005,66,31,7,16,6,6,0
A027028006,91,32,21,27,6,2,3
A027028007,79,32,12,29,4,1,1
A027028008,91,47,14,17,8,3,2
A027029001,51,21,11,9,4,2,4
A027030001,129,41,26,35,23,1,3
A027030002,126,50,17,38,15,2,4
A027031001,95,21,20,39,9,4,2
A027031002,67,19,11,29,4,2,2
A027032001,96,27,21,38,6,3,1
A027032002,109,17,22,58,8,3,1
A027032003,87,23,9,48,2,3,2
A027033001,57,15,12,21,5,2,2
A027033002,71,16,8,35,7,2,3
A027034001,56,13,10,24,4,3,2
A027035001,116,27,22,47,7,3,10
A027035002,117,34,14,53,8,4,4
A027035003,126,29,18,60,11,5,3
A027036001,82,24,15,31,6,1,5
A027036002,66,16,14,24,3,3,6
A027037001,98,23,20,40,8,3,4
A027038001/027047001,79,15,15,37,8,3,1
A027039001,72,17,18,28,4,2,3
A027040001,36,14,6,11,0,4,1
A027041001,51,17,6,15,4,5,4
A027042001,52,14,13,17,5,1,2
A027042002,50,11,12,19,4,3,1
A027043001,62,24,8,15,7,6,2
A027043002,74,20,6,36,4,2,6
A027044001,69,14,13,31,6,4,1
A027044002,104,26,22,39,11,2,4
A027045001,110,21,20,50,10,5,4
A027045002,102,18,17,52,11,2,2
A027045003,80,18,19,34,5,3,1
A027046001,57,11,7,31,4,3,1
A027046002,67,9,15,35,5,2,1
A027048001,62,14,13,28,3,3,1
A027048002,101,19,19,44,12,3,4
A027049001,80,19,15,36,5,1,4
A027050001,71,17,12,36,4,0,2
A027050002,72,8,15,34,9,1,5
A027051001,72,16,18,31,4,2,1
A027051002,108,25,21,47,8,3,4
A027052001,84,20,20,35,4,2,3
A027052002,74,15,17,35,4,1,2
A027052003,75,19,13,31,5,2,5
A027052004,61,18,11,19,7,4,2
A027052005,73,12,10,41,7,1,2
A027053001,75,15,15,29,10,3,3
A027053002,57,13,13,22,5,1,3
A027054001/027054003,63,18,12,25,3,2,3
A027054002,65,12,13,28,9,3,0
A027055001,78,19,14,34,4,4,3
A027056001,105,26,23,35,14,7,0
A027056002,83,19,13,40,6,3,2
A027057001,114,32,11,56,7,4,4
A027057002,68,12,13,33,6,4,0
A027057003,58,18,7,26,4,2,1
A027057004,73,14,12,38,3,4,2
A027057005,61,11,14,22,5,5,4
A027057006,62,9,12,28,5,3,5
A027058001/027085001,85,23,22,28,7,2,3
A027059001,78,28,12,23,15,0,0
A027059002,70,24,20,11,9,2,4
A027060001,49,11,10,17,4,6,1
A027060002,94,19,22,33,10,2,8
A027060003,61,20,8,24,5,2,2
A027061001,63,16,17,23,5,1,1
A027061002,74,15,17,29,4,4,5
A027061003,68,10,18,33,5,2,0
A027061004,88,11,19,45,7,2,4
A027062001,124,28,18,59,11,4,4
A027064001,122,14,26,56,15,4,7
A027064002,101,28,18,41,7,2,5
A027065001,110,16,29,48,9,3,5
A027065002,70,17,14,27,10,0,2
A027066001,85,13,15,43,6,6,2
A027066002,82,16,14,41,3,2,6
A027067001,73,15,8,33,8,6,3
A027067002,74,17,12,31,5,3,6
A027068001,87,22,8,41,9,2,5
A027069001,62,9,14,27,7,3,2
A027069002,70,11,16,36,6,1,0
A027070001,103,23,24,41,8,4,3
A027070002,56,16,7,22,7,2,2
A027070003,70,15,11,30,8,4,2
A027071001,72,13,14,35,5,3,2
A027071002,60,9,11,31,4,1,4
A027072001,72,26,16,24,6,0,0
A027072002,69,16,18,22,6,4,3
A027072003,75,24,16,25,6,4,0
A027072004,86,11,14,43,8,1,9
A027072005,76,17,20,28,6,1,4
A027072006,85,14,16,39,9,3,4
A027072007,99,22,21,44,7,2,3
A027073001,72,9,15,37,5,5,1
A027073002,90,16,15,36,14,3,6
A027073003,67,7,14,35,4,4,3
A027073004,102,27,14,42,14,2,3
A027073005,94,22,25,42,2,1,2
A027073006,122,13,18,67,14,4,6
A027073007,100,25,24,36,7,5,3
A027074001,114,22,18,50,14,2,8
A027074002,133,28,29,50,22,2,2
A027074003,87,20,15,40,9,1,2
A027074004,108,15,28,46,9,3,7
A027075001/027088001,108,27,16,46,6,3,10
A027076001,80,11,17,37,8,1,6
A027076002,69,13,7,37,7,1,4
A027077001,71,21,20,19,6,3,2
A027077002,74,16,17,28,8,3,2
A027078001,89,29,18,26,13,2,1
A027078002,79,17,14,35,7,5,1
A027078003,73,13,23,30,3,3,1
A027079001,58,19,12,21,2,3,1
A027079002,85,15,14,41,10,2,3
A027079003,88,33,16,25,8,5,1
A027079004,68,10,12,33,8,2,3
A027079005,81,17,14,38,3,5,4
A027080001,80,19,17,33,8,1,2
A027080002,106,40,14,19,21,8,4
A027081001,109,25,13,41,12,12,6
A027082001,68,15,14,29,6,2,2
A027082002,69,19,11,26,5,5,3
A027082003,62,11,18,24,4,2,3
A027083001,101,27,20,44,3,3,4
A027083002,77,12,17,37,6,2,3
A027083003,90,27,19,31,7,4,2
A027084001,63,20,17,21,3,1,1
A027084002,41,20,4,8,4,2,3
A027086001,47,12,12,14,2,4,3
A027086002,108,24,20,44,9,9,2
A027087001,96,13,11,59,8,2,3
A027087002,51,16,9,19,3,2,2
A027089001,56,14,16,19,4,2,1
A027089002,85,17,15,34,12,3,4
A027089003,106,27,18,48,5,2,6
A027090001,52,16,18,14,3,1,0
A027090002,39,14,9,13,3,0,0
A027091001,51,29,4,7,9,1,1
A027092001,78,21,17,36,2,0,2
A027092002,89,15,27,39,4,1,3
A027092002,89,15,27,39,4,1,3
A027092003,94,15,27,43,1,1,7
A027092004,86,19,25,30,7,1,4
A027092005,66,20,13,18,12,3,0
A027092006,102,33,3,26,31,4,5
A027092007,107,20,26,38,16,4,3
A027092008,119,38,20,48,8,4,1
A027092009,72,21,18,26,1,2,4
A027092010,74,16,14,36,6,1,1
A027092011,64,7,7,29,15,3,3
A027092012,77,25,25,18,6,2,1
A027092013,76,19,19,23,9,4,2
A027092014,88,22,19,21,9,13,4
A027092015,75,18,11,39,6,0,1
A027092016,118,18,32,47,11,5,5
A027092017,74,32,16,15,6,4,1
A027093001,83,18,21,33,3,3,5
A027093002,58,13,10,29,3,2,1
A027093003,117,20,18,65,9,1,4
A067018001,102,20,24,38,8,6,6
A067025001,38,16,4,12,1,4,1
A067025002,73,28,14,14,8,7,2
A067030001,135,21,25,71,9,6,3
A067030002,104,19,21,50,6,7,1
A067073002,42,15,9,11,2,3,2
A067111001,63,13,13,28,3,3,3
A067120001,87,31,17,23,7,6,3
A067120002,78,33,14,16,6,5,4
A067120003,52,16,9,16,3,6,2
A067206002,43,19,11,8,2,1,2
A067210001,68,15,12,32,5,3,1
A067210002,87,15,17,41,6,3,5
A117001001,147,32,19,62,21,9,4
A117002001/117003001,102,16,16,52,7,6,5
A117004001,96,11,13,44,10,12,6
A117004002,72,23,17,19,4,6,3
