house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A037037001,95,24,21,40,6,2,2
A037038001,70,11,10,39,5,2,3
A037039001,94,14,23,43,8,3,3
A037040001,80,9,14,46,5,2,4
A037040002,71,14,11,28,10,4,4
A037042001,89,21,28,33,1,5,1
A037042002,61,16,9,23,10,3,0
A037042003,99,33,15,36,6,4,5
A037042004,97,29,16,37,7,4,4
A037042005,91,27,18,40,6,0,0
A037042006,66,14,14,25,8,2,3
A037043001,99,29,26,16,15,7,6
A037043002,87,18,22,32,8,3,4
A037043003,74,25,16,21,10,2,0
A037043004,85,18,15,39,8,2,3
A037043005,88,6,27,47,2,4,2
A037044001,92,14,18,50,6,2,2
A037044002,111,18,28,53,9,1,2
A037045001,107,26,24,41,4,8,4
A037045002,73,8,12,41,8,3,1
A037045003,84,21,12,34,10,6,1
A037045004,74,12,18,25,9,5,5
A037046001,74,14,20,31,2,2,5
A037047001,81,20,24,30,2,3,2
A037048001,103,20,13,53,8,4,5
A037049001,78,15,14,33,7,6,3
A037049002,78,15,24,29,3,3,4
A037049003,50,21,8,10,5,5,1
A037049004,53,12,11,23,5,1,1
A037050001,67,16,17,26,6,1,1
A037050002,68,23,10,23,6,2,4
A037050003,79,22,18,25,7,4,3
A037050004,56,19,13,11,8,4,1
A037050005,86,11,23,39,7,1,5
A037050006,149,28,25,80,10,4,2
A037051001,96,20,22,40,8,3,3
A037051002,112,31,22,42,7,8,2
A037051003,133,23,33,62,8,2,5
A037052001,100,11,28,42,9,1,9
A037052002,58,17,14,18,4,3,2
A037053001,61,20,13,21,3,3,1
A037053002,59,25,12,8,9,3,2
A037053003,91,28,16,32,9,3,3
A037054001,73,21,14,27,9,0,2
A037054002,120,19,30,51,10,6,4
A037054003,80,17,17,15,5,26,0
A037055001,101,20,24,29,1,20,7
A037056001,62,18,12,27,4,0,1
A037057001/037057002,78,20,21,22,10,3,2
A037057003,89,28,17,32,9,3,0
A037057004,118,33,20,45,7,9,4
A037057005,120,27,26,56,8,1,2
A037057006,77,21,15,30,4,3,4
A037057007,80,21,15,25,8,6,5
A037057008,88,34,17,22,7,7,1
A037057009,65,21,10,18,5,8,3
A037057010,98,33,17,21,11,12,4
